Trace	strategy	rate	success_count	total_count	ttft_mean	ttft_p99	tpot_mean	tpot_p99
Coder	Company-X	5.3	6332	6416	488.5	2188.4	48.3	71.0
Coder	Dynamo	5.3	6305	6406	591.2	2268.7	52.3	95.0
Coder	Predictor	5.3	6320	6414	402.8	1846.4	49.8	73.0
Coder	vLLM-v1	5.3	5792	6390	527.6	1895.1	56.0	95.1
Coder	Predictor	5.8	6466	7018	410.5	1841.4	55.7	88.0
Coder	vLLM-v1	5.8	5312	7016	522.7	1922.1	59.2	110.0
Coder	Company-X	5.9	6951	7047	495.9	2252.0	48.8	76.0
Coder	Dynamo	5.9	6664	7024	622.1	2477.0	55.8	105.0
Coder	Company-X	6.4	7524	7676	516.8	2273.9	52.2	82.0
Coder	Dynamo	6.4	6294	7663	632.7	2472.8	59.2	138.0
Coder	Predictor	6.4	7270	7672	407.6	1876.0	56.2	86.0
Coder	vLLM-v1	6.4	4669	7659	515.8	1943.6	62.8	129.0
Coder	Company-X	6.9	7903	8319	527.4	2386.9	54.8	87.0
Coder	Dynamo	6.9	5508	8300	642.8	2519.8	62.8	162.0
Coder	Predictor	6.9	6801	8304	395.4	1818.0	58.5	94.0
Coder	vLLM-v1	6.9	4210	8300	524.6	1976.5	67.0	152.0
Coder	Dynamo	7.5	5128	8956	633.3	2417.7	65.6	181.5
Coder	Predictor	7.5	6159	8953	387.2	1786.4	61.4	104.0
Coder	vLLM-v1	7.5	3801	9002	539.6	2004.0	72.4	166.0
Coder	Company-X	7.6	7540	9137	524.2	2423.6	57.7	102.0
Chatbot	Company-X	15.8	16626	18931	285.7	1772.2	51.3	85.0
Chatbot	Dynamo	15.8	14417	18929	330.5	1701.2	55.2	122.0
Chatbot	Predictor	15.8	15491	18927	207.1	1372.1	52.6	91.0
Chatbot	vLLM-v1	15.8	11063	18926	244.1	1568.9	56.7	131.0
Chatbot	Company-X	16.3	16637	19606	293.3	1807.6	52.8	85.0
Chatbot	Dynamo	16.3	13800	19604	345.4	1737.0	57.6	136.0
Chatbot	Predictor	16.3	15151	19605	208.4	1392.5	54.7	97.0
Chatbot	vLLM-v1	16.3	10567	19590	242.3	1592.3	58.1	141.3
Chatbot	Company-X	16.9	16162	20337	294.9	1819.0	54.3	95.0
Chatbot	Dynamo	16.9	13716	20281	341.4	1708.0	58.5	138.9
Chatbot	Predictor	16.9	14467	20272	204.5	1355.0	55.8	104.0
Chatbot	vLLM-v1	16.9	10115	20278	242.4	1564.0	60.8	156.0
Chatbot	Company-X	17.5	15396	20967	291.3	1847.1	55.9	104.0
Chatbot	Dynamo	17.5	13937	20956	342.5	1702.6	59.6	142.0
Chatbot	Predictor	17.5	13547	20960	199.6	1277.2	57.5	109.5
Chatbot	vLLM-v1	17.5	9729	20952	245.1	1585.0	62.4	165.0
Chatbot	Company-X	18.1	14864	21680	289.0	1770.0	56.9	109.0
Chatbot	Dynamo	18.1	13310	21679	346.2	1651.9	60.9	157.0
Chatbot	Predictor	18.1	12849	21668	197.5	1287.6	58.4	114.0
Chatbot	vLLM-v1	18.1	9067	21731	245.3	1575.0	65.1	175.3
Agent	vLLM-v1	0.0	0	0				
Agent	Company-X	55.8	66512	66993	200.4	1500.9	45.7	128.9
Agent	Dynamo	55.8	66223	66991	201.9	1014.6	54.9	180.0
Agent	Predictor	55.8	66143	66991	136.9	815.6	50.2	142.0
Agent	vLLM-v1	55.8	65856	66989	196.4	1704.0	52.3	140.0
Agent	Company-X	58.6	59710	70323	234.9	1871.8	41.6	137.0
Agent	Dynamo	58.6	68800	70319	212.9	1017.0	60.3	201.0
Agent	Predictor	58.6	68627	70320	146.1	800.0	56.6	168.0
Agent	vLLM-v1	58.6	68189	70321	224.7	1875.1	57.8	161.0
Agent	Company-X	61.2	61579	73459	245.8	2115.2	44.8	142.0
Agent	Dynamo	61.2	71190	73451	222.8	1033.0	64.0	215.0
Agent	Predictor	61.2	70918	73453	150.8	830.5	60.8	182.0
Agent	vLLM-v1	61.2	70554	73446	177.9	1287.0	62.6	191.0
Agent	Company-X	63.6	63246	76303	249.2	1994.0	47.7	148.0
Agent	Dynamo	63.6	73050	76298	231.2	1068.0	68.5	231.0
Agent	Predictor	63.6	72696	76296	159.2	847.0	65.1	196.0
Agent	vLLM-v1	63.6	72256	76297	186.3	1305.0	67.2	207.0
Agent	Company-X	65.7	75381	78898	245.2	1716.0	63.7	223.2
Agent	Dynamo	65.7	74443	78899	242.2	1182.6	72.8	246.0
Agent	Predictor	65.7	74104	78898	164.5	814.0	69.5	214.0
Agent	Dynamo	68.2	75808	81871	257.3	1226.9	79.1	269.0
Agent	Predictor	68.2	75330	81879	178.3	932.0	76.2	235.0
Agent	Company-X	68.3	77232	81911	258.5	1772.7	68.4	241.0
Agent	vLLM-v1	68.3	74121	81911	213.8	1457.0	79.8	255.0
