Trace	strategy	rate	success_count	total_count	ttft_mean	ttft_p99	tpot_mean	tpot_p99
Coder	Company-X	4.3	5137	5199	339.5	1475.0	16.4	26.0
Coder	Dynamo	4.3	5139	5201	369.8	1462.0	18.0	30.0
Coder	Predictor	4.3	5140	5202	306.9	1365.9	16.8	26.0
Coder	vLLM-v1	4.3	5135	5197	400.6	1385.7	18.8	33.0
Coder	Company-X	4.9	5797	5867	355.6	1505.0	19.7	32.0
Coder	Dynamo	4.9	5798	5868	381.6	1471.0	20.5	35.0
Coder	Predictor	4.9	5797	5867	313.2	1366.1	19.7	33.0
Coder	vLLM-v1	4.9	5796	5866	409.1	1409.0	23.0	40.0
Coder	Company-X	5.4	6405	6488	362.9	1583.8	22.1	36.0
Coder	Dynamo	5.4	6404	6487	391.9	1496.8	23.5	41.0
Coder	Predictor	5.4	6405	6488	315.8	1367.9	22.1	35.0
Coder	vLLM-v1	5.4	6400	6483	410.8	1420.0	25.3	44.0
Coder	Company-X	5.9	7029	7124	371.7	1632.4	24.4	40.0
Coder	Dynamo	5.9	7028	7123	414.8	1585.1	26.4	49.0
Coder	Predictor	5.9	7029	7124	324.3	1397.2	25.3	40.0
Coder	vLLM-v1	5.9	7021	7116	424.3	1440.8	30.4	53.0
Coder	Company-X	6.5	7688	7838	387.5	1648.1	28.1	45.0
Coder	Dynamo	6.5	7682	7785	438.3	1612.2	30.5	51.0
Coder	Predictor	6.5	7688	7791	328.5	1402.3	28.5	46.0
Coder	vLLM-v1	6.5	7663	7766	430.7	1459.4	33.7	58.0
Chatbot	Company-X	14.7	17573	17679	203.6	1284.6	24.4	41.0
Chatbot	Dynamo	14.7	17572	17679	207.8	1186.6	26.4	47.0
Chatbot	Predictor	14.7	17573	17679	158.4	1121.1	24.0	41.0
Chatbot	vLLM-v1	14.7	17574	17680	192.3	1226.8	28.1	52.0
Chatbot	Company-X	15.2	18185	18295	207.0	1322.2	25.1	44.0
Chatbot	Dynamo	15.2	18186	18295	211.2	1180.0	27.3	50.2
Chatbot	Predictor	15.2	18186	18295	159.0	1103.0	24.9	43.0
Chatbot	vLLM-v1	15.2	18186	18295	194.3	1238.2	28.7	53.0
Chatbot	Company-X	15.8	18831	18945	212.2	1340.1	26.1	45.0
Chatbot	Dynamo	15.8	18829	18945	215.3	1195.2	28.4	52.0
Chatbot	Predictor	15.8	18831	18945	161.9	1112.7	26.7	47.0
Chatbot	vLLM-v1	15.8	18831	18945	198.1	1242.4	30.7	58.0
Chatbot	Company-X	16.4	19519	19636	212.4	1327.8	26.8	47.0
Chatbot	Dynamo	16.4	19518	19636	218.4	1210.7	29.1	53.0
Chatbot	Predictor	16.4	19519	19636	162.5	1107.0	27.4	50.0
Chatbot	vLLM-v1	16.4	19519	19636	200.2	1241.0	32.4	62.0
Chatbot	Company-X	16.9	20212	20332	220.9	1393.9	28.2	50.0
Chatbot	Dynamo	16.9	20212	20332	225.0	1253.0	30.4	57.0
Chatbot	Predictor	16.9	20213	20333	165.2	1125.9	29.6	54.0
Chatbot	vLLM-v1	16.9	20159	20332	204.8	1257.0	35.0	66.0
Agent	Company-X	53.9	64667	64716	105.1	771.3	18.0	69.0
Agent	Dynamo	53.9	64667	64716	100.9	500.0	19.7	60.0
Agent	Predictor	53.9	64667	64716	77.7	436.3	17.4	38.0
Agent	vLLM-v1	53.9	64666	64716	87.6	588.3	18.4	41.0
Agent	Company-X	55.8	66934	67005	115.5	787.7	24.1	105.0
Agent	Dynamo	55.8	66954	67005	102.9	516.5	20.4	64.0
Agent	Predictor	55.8	66954	67005	79.3	450.0	18.2	40.0
Agent	vLLM-v1	55.8	66954	67005	89.6	612.0	19.1	42.0
Agent	Company-X	58.6	69969	70357	113.7	825.0	21.4	134.0
Agent	Dynamo	58.6	70305	70359	106.7	540.0	21.6	67.0
Agent	Predictor	58.6	70303	70357	80.3	447.0	19.2	43.0
Agent	vLLM-v1	58.6	70305	70359	91.4	597.0	20.3	46.0
Agent	Company-X	61.2	73335	73487	115.8	847.7	22.2	124.0
Agent	Dynamo	61.2	73429	73487	110.0	533.7	22.8	71.0
Agent	Predictor	61.2	73429	73487	81.9	458.0	20.3	45.0
Agent	vLLM-v1	61.2	73429	73487	94.2	614.0	21.8	50.0
Agent	Company-X	63.6	75994	76330	120.1	890.1	23.4	136.0
Agent	Dynamo	63.6	76269	76329	111.4	505.0	23.8	74.0
Agent	Predictor	63.6	76269	76330	83.8	459.0	21.9	50.0
Agent	vLLM-v1	63.6	76270	76330	95.9	623.3	22.7	53.0
