workload	metric	strategy	sc	x_rate	y_value
traceA	ttft_mean	Company-X	3.6	18	214.648
traceA	ttft_mean	Company-X	3.8	19	229.997
traceA	ttft_mean	Company-X	4.0	20	241.603
traceA	ttft_mean	Company-X	4.2	21	252.793
traceA	ttft_mean	Company-X	4.4	22	260.456
traceA	ttft_mean	Dynamo	3.6	18	224.196
traceA	ttft_mean	Dynamo	3.8	19	237.797
traceA	ttft_mean	Dynamo	4.0	20	248.208
traceA	ttft_mean	Dynamo	4.2	21	260.59
traceA	ttft_mean	Dynamo	4.4	22	266.121
traceA	ttft_mean	Predictor	3.6	18	160.941
traceA	ttft_mean	Predictor	3.8	19	166.208
traceA	ttft_mean	Predictor	4.0	20	171.053
traceA	ttft_mean	Predictor	4.2	21	179.233
traceA	ttft_mean	Predictor	4.4	22	179.712
traceA	ttft_mean	vLLM-v1	3.6	18	202.245
traceA	ttft_mean	vLLM-v1	3.8	19	210.58
traceA	ttft_mean	vLLM-v1	4.0	20	214.207
traceA	ttft_mean	vLLM-v1	4.2	21	209.154
traceA	ttft_mean	vLLM-v1	4.4	22	218.168
traceA	ttft_px	Company-X	3.6	18	852
traceA	ttft_px	Company-X	3.8	19	889
traceA	ttft_px	Company-X	4.0	20	921.4
traceA	ttft_px	Company-X	4.2	21	958.75
traceA	ttft_px	Company-X	4.4	22	985
traceA	ttft_px	Dynamo	3.6	18	767
traceA	ttft_px	Dynamo	3.8	19	790
traceA	ttft_px	Dynamo	4.0	20	805.4
traceA	ttft_px	Dynamo	4.2	21	833
traceA	ttft_px	Dynamo	4.4	22	849
traceA	ttft_px	Predictor	3.6	18	596
traceA	ttft_px	Predictor	3.8	19	605
traceA	ttft_px	Predictor	4.0	20	618
traceA	ttft_px	Predictor	4.2	21	633
traceA	ttft_px	Predictor	4.4	22	627.3
traceA	ttft_px	vLLM-v1	3.6	18	768
traceA	ttft_px	vLLM-v1	3.8	19	782
traceA	ttft_px	vLLM-v1	4.0	20	788.5
traceA	ttft_px	vLLM-v1	4.2	21	775.7
traceA	ttft_px	vLLM-v1	4.4	22	814.8
traceA	tpot_mean	Company-X	3.6	18	26.5575
traceA	tpot_mean	Company-X	3.8	19	30.6909
traceA	tpot_mean	Company-X	4.0	20	33.5642
traceA	tpot_mean	Company-X	4.2	21	36.748
